child	age	dur	nation	god	univ
3	35	9	0	6	0
0	33	10	0	4	0
1	33	10	0	5	0
1	70	8	0	2	0
2	52	8	0	6	0
2	58	8	0	5	0
2	40	9	0	6	0
2	32	10	0	4	0
1	41	9	0	4	0
2	45	10	0	2	0
3	30	10	0	3	0
0	62	8	0	4	0
3	42	10	0	5	0
0	28	13	0	2	0
0	50	9	0	3	0
2	24	10	0	5	0
1	79	9	0	2	0
0	23	9	0	2	0
1	30	10	0	1	0
3	59	8	0	6	0
2	74	8	0	4	0
1	64	8	0	6	0
0	26	10	0	6	0
0	19	10	0	2	0
1	24	11	0	5	0
2	53	8	0	1	0
2	63	8	0	1	0
1	68	8	0	3	0
5	63	10	0	1	0
3	36	9	0	2	0
6	33	9	0	2	0
0	64	8	0	3	0
0	75	8	0	3	0
3	79	8	0	6	0
2	68	8	0	2	0
2	54	8	0	2	0
1	32	13	0	3	0
3	73	8	0	4	0
2	43	10	0	2	0
1	45	8	0	1	0
0	25	11	0	2	0
2	43	8	0	2	0
3	43	15	0	1	0
3	80	8	0	2	0
1	66	8	0	2	0
2	49	8	0	2	0
0	51	14	0	4	0
0	29	20	0	5	1
0	30	9	0	5	0
0	41	8	0	1	0
3	54	8	0	3	0
1	43	8	0	3	0
1	33	9	0	2	0
0	51	8	0	3	0
0	33	10	0	2	0
2	41	18	0	2	1
0	63	10	0	5	0
3	34	9	0	2	0
2	62	10	0	2	0
2	38	8	0	3	0
2	63	10	0	5	0
1	47	8	0	6	0
0	64	8	0	2	0
0	23	9	0	3	0
4	51	11	0	2	0
2	68	11	0	1	0
2	29	13	0	6	0
2	42	10	0	5	0
1	40	14	0	5	0
1	41	18	0	5	1
2	31	11	0	4	0
0	32	10	0	2	0
1	50	9	0	1	0
2	37	10	1	1	0
1	40	8	0	2	0
0	49	10	0	6	0
2	44	9	0	2	0
0	71	10	0	2	0
1	72	8	0	1	0
1	49	10	0	1	0
1	75	8	0	2	0
1	82	8	0	6	0
1	77	5	0	3	0
0	21	10	0	2	0
0	21	14	0	4	0
3	52	10	0	2	0
3	57	10	0	1	0
0	24	10	0	2	0
2	33	19	0	2	1
2	34	9	0	4	0
2	33	9	0	5	0
0	24	13	0	2	0
2	59	12	0	2	0
2	33	11	0	3	0
7	59	8	0	6	0
5	63	8	0	3	0
1	26	10	0	2	0
2	32	9	0	4	0
2	62	8	0	3	0
2	63	8	0	2	0
0	37	10	0	4	0
0	34	21	0	5	1
0	29	10	0	3	0
2	70	8	0	4	0
1	72	10	0	2	0
1	57	8	0	2	0
3	39	10	0	2	0
0	50	10	0	1	0
1	66	8	0	2	0
3	77	8	0	1	0
0	31	13	0	4	0
4	62	8	0	5	0
2	30	10	0	1	0
0	19	11	0	3	0
4	79	8	0	6	0
2	40	9	0	1	0
0	21	10	0	2	0
2	38	10	0	2	0
2	53	8	0	2	0
2	48	10	0	4	0
1	52	8	0	4	0
0	27	10	0	4	0
2	60	9	0	2	0
1	31	8	0	2	0
1	32	8	0	3	0
1	59	8	0	2	0
1	41	8	0	6	0
2	49	8	0	4	0
1	44	8	0	3	0
0	73	10	0	4	0
1	33	10	0	2	0
0	24	13	0	4	0
3	56	9	0	3	0
2	30	17	0	4	1
3	37	9	1	2	0
3	44	10	0	4	0
2	40	10	0	1	0
3	38	8	0	4	0
3	83	8	0	1	0
2	36	12	0	4	0
0	77	7	0	2	0
0	90	8	0	1	0
0	66	8	0	3	0
3	34	9	0	2	0
3	32	9	0	1	0
3	78	12	0	4	0
2	35	17	0	2	1
3	22	10	0	2	0
1	25	10	0	2	0
2	41	8	0	3	0
1	39	8	0	2	0
2	31	12	0	2	0
3	35	12	0	2	0
2	52	8	0	2	0
1	24	10	0	2	0
3	64	8	0	4	0
2	41	8	0	6	0
1	30	9	0	5	0
2	42	8	0	2	0
3	59	8	0	2	0
0	28	9	0	4	0
3	32	11	0	4	0
0	67	7	0	6	0
2	32	9	0	2	0
0	60	8	0	5	0
2	37	8	0	5	0
1	34	9	0	3	0
1	27	9	0	3	0
1	27	9	0	3	0
1	26	12	0	3	0
4	71	7	0	4	0
0	45	10	0	2	0
2	58	8	0	3	0
0	50	12	0	5	0
0	26	13	0	3	0
0	22	12	0	5	0
0	18	8	1	3	0
3	60	10	0	6	0
2	42	10	0	3	0
3	44	9	0	6	0
0	23	13	0	6	0
0	67	13	0	5	0
3	49	8	0	1	0
2	49	13	0	2	0
2	80	8	0	2	0
0	22	13	0	3	0
3	31	12	0	5	0
2	37	9	0	2	0
0	27	10	0	3	0
1	50	10	0	5	0
1	63	8	0	2	0
1	82	9	0	4	0
3	78	8	0	4	0
0	24	9	0	3	0
2	58	8	0	4	0
0	34	10	0	2	0
0	34	8	0	4	0
3	35	10	0	4	0
1	53	8	0	5	0
0	25	14	0	5	0
3	64	8	0	4	0
2	52	8	0	1	0
2	49	11	0	2	0
0	43	8	0	2	0
2	37	18	0	4	1
1	35	9	0	3	0
2	31	20	0	1	1
1	68	8	0	3	0
3	40	11	0	5	0
3	71	8	0	1	0
1	24	10	0	4	0
1	36	9	0	2	0
1	38	9	0	1	0
0	23	15	0	2	0
1	42	8	0	2	0
1	29	11	0	2	0
0	29	10	0	5	0
1	69	9	0	2	0
2	34	8	1	6	0
1	41	9	0	3	0
1	67	9	0	2	0
1	23	10	1	4	0
1	65	8	0	2	0
1	70	8	0	5	0
1	36	8	0	5	0
5	64	8	0	1	0
1	24	11	0	3	0
4	48	8	0	5	0
1	59	6	0	5	0
1	34	9	0	1	0
3	58	8	0	5	0
2	32	10	0	2	0
3	61	8	0	4	0
0	22	16	0	5	0
2	74	9	0	5	0
1	43	8	0	2	0
1	35	10	0	2	0
1	62	8	0	4	0
1	27	12	1	3	0
1	40	9	0	4	0
2	34	9	0	1	0
0	28	22	0	4	1
1	28	9	0	5	0
0	24	20	0	2	0
1	28	8	0	1	0
1	67	8	0	5	0
1	26	8	0	3	0
2	50	9	0	3	0
0	57	8	0	2	0
1	70	8	0	5	0
2	43	10	0	6	0
1	51	9	0	2	0
0	59	8	0	3	0
1	34	9	0	1	0
1	28	13	0	5	0
1	29	9	0	4	0
3	33	10	0	4	0
3	81	6	0	6	0
2	60	9	0	1	0
2	44	13	0	5	0
2	42	8	0	1	0
3	56	9	0	3	0
1	76	7	0	3	0
1	38	10	0	2	0
0	62	8	0	3	0
3	56	8	0	4	0
1	46	12	0	5	0
2	70	7	0	1	0
0	26	9	0	4	0
1	70	7	0	4	0
3	71	7	0	4	0
1	69	10	0	3	0
0	38	10	0	4	0
0	27	10	0	1	0
1	36	11	0	5	0
0	54	9	0	4	0
1	48	8	0	1	0
1	31	9	0	4	0
2	78	8	0	4	0
0	72	10	0	2	0
0	66	8	0	3	0
0	34	9	0	2	0
1	79	8	0	4	0
2	40	10	0	3	0
1	68	10	0	3	0
2	55	12	0	2	0
0	55	11	0	1	0
1	40	12	0	1	0
2	39	12	0	6	0
3	42	12	0	2	0
3	58	8	0	2	0
0	68	8	0	3	0
3	32	9	0	6	0
0	30	11	0	2	0
2	43	9	0	3	0
0	23	17	0	3	0
1	48	11	0	3	0
1	68	12	0	2	0
0	35	17	0	2	0
0	71	8	0	3	0
1	33	10	0	3	0
2	51	10	0	1	0
6	34	11	0	1	0
3	38	10	0	5	0
2	44	8	0	2	0
2	41	10	0	6	0
2	38	10	0	4	0
2	41	10	0	2	0
3	79	8	0	4	0
0	40	8	0	2	0
0	64	7	0	4	0
2	50	10	0	6	0
0	23	11	0	2	0
2	26	10	0	2	0
1	47	8	0	1	0
4	33	10	0	4	0
1	27	11	0	2	0
0	33	10	0	5	0
2	50	9	0	6	0
0	63	8	0	2	0
2	37	9	0	2	0
2	31	9	0	5	0
1	44	8	0	1	0
1	29	9	0	4	0
2	42	8	0	5	0
2	41	8	0	5	0
0	23	18	0	3	1
1	24	10	0	5	0
2	28	9	0	4	0
2	38	9	0	4	0
3	27	10	0	5	0
2	49	8	0	5	0
2	58	8	0	5	0
1	42	8	0	4	0
1	42	8	0	6	0
1	30	9	0	2	0
2	61	9	0	6	0
1	54	9	0	6	0
1	37	10	0	3	0
0	67	8	0	1	0
3	40	8	0	1	0
3	60	8	0	2	0
2	36	9	0	1	0
1	56	8	0	2	0
3	36	11	1	1	0
2	53	8	0	4	0
3	55	8	0	1	0
3	81	7	0	4	0
0	28	13	0	4	0
1	29	9	0	2	0
2	47	8	0	4	0
2	33	10	0	2	0
2	54	10	0	1	0
0	42	8	0	1	0
0	21	9	0	4	0
2	55	8	0	4	0
1	31	10	0	2	0
2	41	9	0	2	0
2	42	18	0	5	1
0	86	9	0	5	0
0	21	10	0	2	0
2	53	8	0	5	0
0	37	10	0	2	0
2	65	8	0	3	0
1	63	8	0	6	0
2	72	8	0	1	0
2	33	12	0	2	0
3	59	8	0	3	0
0	27	10	0	3	0
1	35	9	0	3	0
2	41	8	0	4	0
0	33	10	0	5	0
5	69	7	0	2	0
3	38	10	0	5	0
2	39	14	0	5	0
3	54	8	0	1	0
0	72	8	0	4	0
2	69	8	0	1	0
2	36	16	0	1	1
0	77	5	0	1	0
1	30	12	0	4	0
3	32	9	0	2	0
0	61	8	0	2	0
2	61	9	1	6	0
3	52	8	0	2	0
1	79	8	0	4	0
0	26	10	0	4	0
0	29	10	0	6	0
3	35	9	0	5	0
0	81	8	0	6	0
1	38	8	0	3	0
2	37	9	0	6	0
2	49	9	0	2	0
2	33	9	0	5	0
2	33	12	0	1	0
1	30	10	0	5	0
2	78	7	0	3	0
3	50	8	0	3	0
2	66	8	0	5	0
0	86	8	0	2	0
2	27	10	0	1	0
4	35	9	0	2	0
2	48	8	0	4	0
2	58	8	0	2	0
3	64	12	0	1	0
2	42	8	0	1	0
1	27	10	0	5	0
1	48	11	1	5	0
0	43	11	0	1	0
0	28	12	0	2	0
2	33	9	0	2	0
1	53	8	0	1	0
0	53	8	0	1	0
2	40	12	0	3	0
1	38	10	0	1	0
1	28	10	0	2	0
0	92	10	0	5	0
3	66	7	0	6	0
0	34	9	0	3	0
1	48	11	0	2	0
2	44	8	1	1	0
1	65	13	0	1	0
2	46	9	0	2	0
2	24	8	0	5	0
0	43	13	0	4	0
1	46	20	0	5	1
0	18	10	0	3	0
0	26	13	0	3	0
0	33	10	0	6	0
2	34	11	0	2	0
2	70	9	0	6	0
1	29	12	0	2	0
3	44	8	0	1	0
1	52	10	0	1	0
2	77	8	0	4	0
1	28	10	1	6	0
1	26	9	0	2	0
2	32	10	0	2	0
2	34	20	0	5	1
2	54	9	0	2	0
3	30	9	0	4	0
3	56	8	0	1	0
0	28	9	0	6	0
2	70	8	0	6	0
2	39	9	0	4	0
3	44	9	0	4	0
0	20	10	0	4	0
1	29	13	0	4	0
1	37	10	0	3	0
2	24	9	0	1	0
3	32	9	0	6	0
0	29	11	0	2	0
3	33	10	0	5	0
2	39	10	0	2	0
3	55	8	0	2	0
0	26	14	0	3	0
2	42	8	0	2	0
1	33	9	0	2	0
1	37	9	0	2	0
1	38	10	0	6	0
1	47	12	0	1	0
0	31	17	0	3	1
3	42	12	0	2	0
0	19	13	0	4	0
2	41	7	1	3	0
0	86	8	0	3	0
0	65	8	0	2	0
2	55	8	0	4	0
2	39	10	0	4	0
2	62	8	0	1	0
0	65	8	0	1	0
1	68	7	0	3	0
0	42	8	0	3	0
1	47	11	0	3	0
4	81	7	0	5	0
1	79	7	0	6	0
2	74	7	0	2	0
2	58	11	0	4	0
0	68	8	0	4	0
1	72	8	0	3	0
3	44	8	1	3	0
0	28	9	0	3	0
2	64	8	0	1	0
1	63	8	0	3	0
0	20	10	0	2	0
0	21	13	0	3	0
0	19	9	1	2	0
0	24	13	0	6	0
3	72	8	0	1	0
2	35	11	0	6	0
0	18	11	1	4	0
1	76	8	0	3	0
0	38	10	0	2	0
2	54	9	0	1	0
1	31	10	0	6	0
2	73	8	0	1	0
2	39	9	0	4	0
2	36	9	0	2	0
4	81	8	0	2	0
3	66	8	0	2	0
5	74	7	0	2	0
2	74	11	0	1	0
1	36	12	0	1	0
2	45	7	0	2	0
0	29	13	0	4	0
0	19	13	0	3	0
2	71	8	0	2	0
1	26	10	0	2	0
2	32	9	0	4	0
1	42	8	0	3	0
1	57	12	0	2	0
2	65	11	0	2	0
2	56	12	0	6	0
2	42	10	0	5	0
0	22	10	0	4	0
2	75	8	0	1	0
1	69	10	0	2	0
2	75	10	0	1	0
0	28	11	0	5	0
1	60	7	0	2	0
1	37	23	0	5	1
1	85	7	0	3	0
0	18	11	1	5	0
0	20	10	0	4	0
1	61	8	0	2	0
0	30	10	0	3	0
0	34	11	0	4	0
2	47	8	0	5	0
3	78	13	0	3	0
0	67	10	0	6	0
1	23	9	0	4	0
1	41	9	0	5	0
3	45	12	0	2	0
1	66	13	0	3	0
2	32	10	0	3	0
0	43	8	0	5	0
2	40	10	0	2	0
2	53	8	0	1	0
2	43	10	0	2	0
3	60	10	1	5	0
2	55	17	0	2	1
2	52	11	0	2	0
1	27	9	0	3	0
2	36	9	0	2	0
1	70	8	0	2	0
1	51	14	0	1	0
0	25	10	0	2	0
0	21	11	0	2	0
2	47	9	0	1	0
1	63	8	0	2	0
0	26	15	0	4	0
2	45	9	0	2	0
0	66	13	0	2	0
1	63	8	0	1	0
1	64	8	0	2	0
1	26	10	0	3	0
2	54	8	0	6	0
1	33	10	0	2	0
1	33	10	0	5	0
1	43	19	0	1	1
2	48	9	0	2	0
0	18	11	0	5	0
2	30	10	0	5	0
0	45	8	0	3	0
0	48	10	0	2	0
2	31	10	0	4	0
2	32	14	0	2	0
2	77	10	0	2	0
1	59	8	0	2	0
1	27	10	0	2	0
0	42	21	0	2	1
1	30	12	0	4	0
0	24	10	0	3	0
0	84	8	0	2	0
2	61	8	0	5	0
2	54	12	1	1	0
1	42	10	0	2	0
0	27	20	0	2	1
0	24	13	0	2	0
0	25	11	0	1	0
4	53	8	0	2	0
3	80	12	0	3	0
0	84	10	0	3	0
0	29	12	0	1	0
2	51	8	0	2	0
1	64	8	0	1	0
0	82	8	0	5	0
2	53	8	0	3	0
0	26	14	0	2	0
2	49	15	0	6	1
2	38	18	0	2	1
4	77	19	0	3	1
0	23	13	0	1	0
0	21	15	0	3	0
1	60	9	0	1	0
4	27	10	0	1	0
1	29	10	0	2	0
2	45	19	0	3	1
2	32	10	0	2	0
2	50	10	0	5	0
2	70	10	0	5	0
2	45	10	0	3	0
1	48	10	0	4	0
5	52	8	0	2	0
2	49	8	0	2	0
3	39	17	0	2	1
3	43	10	0	1	0
2	53	8	0	1	0
1	73	8	0	5	0
3	87	8	0	4	0
0	33	19	0	1	1
0	32	18	0	2	1
2	42	9	0	2	0
2	84	10	0	4	0
2	75	8	0	1	0
0	20	11	0	2	0
1	26	10	0	3	0
3	42	10	0	1	0
2	69	10	0	4	0
2	54	8	0	1	0
2	40	9	0	2	0
5	63	8	0	1	0
1	74	12	0	2	0
2	58	10	0	2	0
0	22	13	0	6	0
0	54	9	0	1	0
2	68	10	0	2	0
5	29	8	0	5	0
2	36	12	0	2	0
2	58	8	0	2	0
1	76	8	0	3	0
3	63	8	0	3	0
1	71	8	0	2	0
2	34	8	0	2	0
3	48	8	0	1	0
2	57	5	0	1	0
2	26	9	0	2	0
1	52	10	0	1	0
1	40	10	0	2	0
1	55	10	0	4	0
3	48	10	0	2	0
3	41	9	0	2	0
2	55	8	0	4	0
4	54	9	0	2	0
1	33	21	0	4	1
5	57	8	0	2	0
1	35	11	0	2	0
0	25	12	0	1	0
0	26	13	0	2	0
0	31	17	0	2	1
1	35	15	0	2	0
0	35	11	0	6	0
2	57	9	0	5	0
1	42	10	1	3	0
1	37	10	0	2	0
2	45	8	0	3	0
1	26	10	0	1	0
1	47	10	0	1	0
2	44	9	0	5	0
1	34	9	0	2	0
2	31	10	0	2	0
3	70	8	0	1	0
0	26	13	0	4	0
3	35	10	0	2	0
0	70	8	0	5	0
1	70	8	0	3	0
0	65	10	0	3	0
0	49	10	0	2	0
2	27	14	0	5	0
2	42	12	0	3	0
1	45	9	0	2	0
0	46	9	0	6	0
2	25	11	0	1	0
2	52	13	0	4	0
3	38	10	0	2	0
0	22	14	0	6	0
3	40	9	0	1	0
2	31	10	0	3	0
2	43	9	0	2	0
3	67	8	0	6	0
5	57	11	0	3	0
1	39	9	0	1	0
0	25	10	0	2	0
2	66	10	0	6	0
2	35	10	0	6	0
3	42	8	0	2	0
2	27	10	1	6	0
4	33	9	0	6	0
1	45	9	0	2	0
2	30	12	1	2	0
0	35	15	0	2	0
1	78	9	0	2	0
1	21	10	0	5	0
3	58	9	0	1	0
1	23	10	0	5	0
2	45	10	0	5	0
1	78	10	0	1	0
0	72	10	0	2	0
2	83	8	0	1	0
2	32	11	0	4	0
2	79	8	0	3	0
2	69	10	0	2	0
2	74	8	0	3	0
2	55	9	0	2	0
1	31	10	0	2	0
1	37	9	0	3	0
3	40	8	0	6	0
2	24	6	1	3	0
2	45	9	0	4	0
1	45	8	0	1	0
3	56	13	0	1	0
0	33	12	0	3	0
2	69	8	0	6	0
1	73	8	0	3	0
3	32	9	0	6	0
0	33	16	0	6	0
1	42	14	0	1	0
2	49	7	1	1	0
5	72	11	0	3	0
2	49	8	0	3	0
2	32	10	0	4	0
2	32	13	0	4	0
1	24	9	0	5	0
2	52	9	0	2	0
2	40	9	0	2	0
3	52	10	0	5	0
2	33	12	0	5	0
3	78	8	0	3	0
2	41	9	0	6	0
0	37	9	0	2	0
0	26	10	0	1	0
3	37	11	0	3	0
0	21	12	0	6	0
0	41	10	0	2	0
2	55	8	0	2	0
1	69	8	0	5	0
4	73	8	0	4	0
1	52	7	0	6	0
3	88	8	0	4	0
0	61	12	0	5	0
0	64	8	0	1	0
2	58	8	0	1	0
2	40	15	1	2	1
1	50	10	0	2	0
1	50	12	0	4	0
2	32	10	0	4	0
3	35	9	0	2	0
1	23	10	0	5	0
3	61	8	0	4	0
0	27	9	0	6	0
1	36	11	0	5	0
3	22	9	0	2	0
2	36	10	0	3	0
0	34	9	0	3	0
2	79	9	0	3	0
1	43	12	0	2	0
2	32	10	0	5	0
0	33	17	0	2	0
0	21	13	0	3	0
0	24	10	0	5	0
1	25	10	0	3	0
0	19	13	0	2	0
2	62	8	0	2	0
2	47	10	0	3	0
0	23	10	0	3	0
2	48	9	0	3	0
3	55	10	0	1	0
0	39	9	0	4	0
1	27	9	0	3	0
1	42	9	0	5	0
0	20	13	0	3	0
0	77	8	0	3	0
3	30	14	0	2	0
2	71	8	0	3	0
0	51	17	0	3	1
0	46	10	0	2	0
0	44	10	0	3	0
0	49	9	0	2	0
0	20	10	0	5	0
0	53	13	0	2	0
1	44	15	0	5	0
0	25	12	0	1	0
0	44	8	0	1	0
1	31	8	0	5	0
2	72	12	0	1	0
0	62	8	0	6	0
2	32	10	0	2	0
3	53	8	0	2	0
1	73	7	0	3	0
0	68	8	0	3	0
2	68	8	0	1	0
1	41	9	0	2	0
0	34	18	0	6	0
0	26	17	0	2	0
0	24	10	0	4	0
0	21	15	0	3	0
1	35	10	0	4	0
4	54	8	0	3	0
2	64	8	0	2	0
4	64	8	0	1	0
0	26	12	0	2	0
3	57	9	0	3	0
1	31	13	0	4	0
3	56	8	0	3	0
2	57	8	0	2	0
1	42	9	0	2	0
2	48	8	0	5	0
1	41	9	0	4	0
3	63	9	0	3	0
2	39	9	0	2	0
2	38	9	0	1	0
3	53	8	0	1	0
1	33	11	0	3	0
4	63	8	0	3	0
2	32	13	0	5	0
4	72	8	0	1	0
0	29	10	0	4	0
0	29	10	0	5	0
1	36	10	0	3	0
0	29	19	1	2	1
2	77	10	0	2	0
2	62	9	0	2	0
5	66	13	0	2	0
0	28	13	0	4	0
1	71	8	0	3	0
2	39	10	0	3	0
0	33	17	0	2	1
3	70	12	0	4	0
0	26	20	0	4	0
0	29	21	0	5	0
2	71	8	0	6	0
0	57	7	0	5	0
1	27	10	0	5	0
0	26	10	0	2	0
0	69	9	0	1	0
2	31	9	0	4	0
2	40	8	0	3	0
0	50	10	0	2	0
2	37	9	0	2	0
3	61	8	0	1	0
2	31	13	0	4	0
2	34	19	0	2	1
2	60	12	0	2	0
0	79	8	0	6	0
0	28	10	0	5	0
1	28	9	0	1	0
1	72	10	0	4	0
2	65	10	0	2	0
4	44	11	0	3	0
0	23	9	0	5	0
3	77	8	0	3	0
2	28	10	0	2	0
1	71	8	0	1	0
2	57	8	0	4	0
4	56	10	0	4	0
2	30	9	0	4	0
2	77	8	0	6	0
0	25	17	1	5	0
0	30	13	0	3	0
1	30	13	0	2	0
3	84	8	0	2	0
1	29	10	0	2	0
2	42	9	0	2	0
2	57	8	0	2	0
0	29	13	0	3	0
5	88	8	0	2	0
2	38	8	0	1	0
0	26	11	0	3	0
4	72	10	0	4	0
2	71	8	0	6	0
1	55	10	0	1	0
1	29	10	0	3	0
2	62	10	0	2	0
1	36	9	0	4	0
1	45	13	0	3	0
2	31	10	0	2	0
0	23	10	0	2	0
2	60	8	0	4	0
3	67	8	0	3	0
4	38	10	0	3	0
3	68	8	0	2	0
3	49	8	0	5	0
2	49	12	1	2	0
1	69	8	0	2	0
3	62	8	0	2	0
2	76	8	0	1	0
4	35	8	0	6	0
0	58	8	0	6	0
1	33	9	0	2	0
2	72	8	0	2	0
5	75	8	0	2	0
4	65	8	0	1	0
1	30	13	0	5	0
0	72	10	0	1	0
1	54	10	0	2	0
2	78	8	0	6	0
2	52	10	0	3	0
1	71	8	0	2	0
0	76	10	0	1	0
0	52	11	0	5	0
5	86	8	0	3	0
3	54	8	0	2	0
1	51	8	0	5	0
2	58	13	0	1	0
3	35	17	0	2	0
0	66	8	0	2	0
0	28	22	0	2	1
0	59	10	0	4	0
0	38	9	0	4	0
0	29	13	0	3	0
3	56	11	0	3	0
2	42	13	0	3	0
0	38	9	0	4	0
0	27	17	0	2	0
1	53	9	0	2	0
0	49	10	0	4	0
1	43	10	0	6	0
2	27	10	0	5	0
3	86	8	0	3	0
2	80	8	0	3	0
4	65	8	0	3	0
2	64	13	0	1	0
0	22	13	0	2	0
0	26	9	0	3	0
0	24	11	0	6	0
1	33	10	0	4	0
1	84	8	0	2	0
2	63	12	0	1	0
3	80	8	0	2	0
2	52	8	0	5	0
0	21	13	0	2	0
1	26	13	0	5	0
0	64	17	0	6	0
0	68	12	0	3	0
1	39	9	0	2	0
0	25	18	1	5	0
2	42	12	0	1	0
1	65	8	0	1	0
1	34	12	0	2	0
1	44	9	0	3	0
2	57	9	0	4	0
1	33	13	0	4	0
0	41	12	0	6	0
0	24	13	0	4	0
3	39	9	0	4	0
2	50	8	0	5	0
1	80	8	0	5	0
0	23	10	0	5	0
0	20	13	0	2	0
3	28	9	0	1	0
2	55	9	0	1	0
0	26	20	0	5	1
0	29	10	0	3	0
0	83	8	0	2	0
2	31	10	0	5	0
3	31	10	0	4	0
0	27	10	0	4	0
2	32	14	0	1	0
0	27	14	0	4	0
2	56	12	0	6	0
2	57	8	0	3	0
2	80	8	0	5	0
0	67	8	0	2	0
0	26	10	0	3	0
1	44	13	0	3	0
0	29	12	0	3	0
1	70	19	0	3	1
1	30	12	0	6	0
2	69	10	0	4	0
1	49	8	0	2	0
1	57	8	0	3	0
3	80	12	0	5	0
0	72	8	0	4	0
0	43	8	0	1	0
1	25	10	0	4	0
5	73	8	0	2	0
3	39	18	0	5	1
1	35	10	0	3	0
3	65	8	0	3	0
0	79	8	0	6	0
0	52	8	0	5	0
1	51	8	0	6	0
3	54	9	0	2	0
1	63	12	0	2	0
0	48	8	0	3	0
2	44	8	0	2	0
2	31	9	0	2	0
3	62	12	0	5	0
0	26	10	0	4	0
1	54	10	0	3	0
1	69	8	0	6	0
3	53	8	0	6	0
0	24	10	0	1	0
0	20	13	0	3	0
3	24	10	0	1	0
2	37	10	0	3	0
0	68	8	0	2	0
0	27	13	0	2	0
0	26	11	0	3	0
0	64	8	0	1	0
1	78	8	0	1	0
1	50	8	0	1	0
3	53	8	0	4	0
0	29	10	0	2	0
1	23	10	0	6	0
1	29	10	0	4	0
4	64	8	0	3	0
6	63	8	0	2	0
3	79	8	0	3	0
1	74	11	0	5	0
0	29	14	0	1	0
2	76	8	0	3	0
1	69	10	0	1	0
2	47	13	0	5	0
2	50	8	0	6	0
4	66	8	0	1	0
0	29	10	0	1	0
2	40	11	0	4	0
2	78	10	0	2	0
2	36	10	0	5	0
3	54	8	0	1	0
5	61	8	0	3	0
1	36	10	0	3	0
0	25	10	0	2	0
1	47	9	0	4	0
1	34	19	0	2	1
3	79	8	0	1	0
3	42	9	0	5	0
2	46	11	0	4	0
0	51	8	0	2	0
1	42	9	0	2	0
1	43	17	1	5	1
0	71	8	0	3	0
3	59	9	0	4	0
3	60	8	0	3	0
0	71	10	0	2	0
