age	gender	flavor	rating
45	female	medium	85
48	female	medium	88
39	female	dark	89
48	female	light	54
30	female	light	36
40	female	light	42
38	female	medium	78
27	female	medium	68
44	male	medium	71
40	male	light	34
52	female	light	57
36	female	dark	92
46	male	medium	75
38	male	medium	63
48	female	dark	92
35	female	light	39
35	female	dark	93
42	female	dark	94
47	female	dark	94
33	female	light	41
43	female	medium	80
30	female	dark	93
41	male	dark	91
37	female	dark	96
33	female	medium	73
58	female	medium	87
42	female	light	51
37	female	light	44
36	male	medium	65
42	male	medium	70
35	female	light	43
50	female	light	54
40	male	light	35
39	female	light	46
45	male	light	40
30	male	medium	58
47	female	medium	84
45	female	medium	83
65	male	medium	83
43	male	light	35
42	female	medium	77
29	male	light	30
45	female	medium	81
42	female	medium	73
36	female	medium	81
38	female	dark	97
36	male	light	32
39	female	medium	76
53	male	light	43
40	male	light	33
52	female	light	60
34	male	medium	61
45	male	dark	94
52	male	dark	95
27	female	medium	70
34	male	medium	65
41	male	dark	93
43	female	medium	81
51	male	medium	78
46	male	light	36
40	female	dark	93
39	male	light	35
45	female	medium	88
48	male	medium	77
44	female	dark	94
44	female	medium	82
36	female	light	44
45	female	light	57
41	female	medium	78
41	male	light	35
38	female	medium	76
39	female	light	47
63	female	light	60
40	female	light	42
33	male	light	36
46	female	medium	88
42	male	medium	71
