WoodType	BoardType	Deflection
Fir	Stacked	4
Fir	Stacked	97.7
Fir	Stacked	171.4
Fir	Stacked	84.7
Fir	Stacked	165.8
Fir	Stacked	138.4
Fir	Stacked	112.7
Fir	Stacked	36.1
Fir	Stacked	138.1
Fir	Stacked	101.7
Fir	Stacked	14.1
Fir	Stacked	212.5
Fir	Stacked	89.7
Fir	Stacked	8.3
Fir	Stacked	119.5
Fir	Stacked	42.9
Fir	Stacked	38.9
Fir	Stacked	95.5
Fir	Stacked	35.8
Fir	Stacked	68.8
Fir	Stacked	28.3
Fir	Stacked	10.9
Fir	Stacked	129
Fir	Stacked	36
Fir	Stacked	212.8
Fir	Stacked	71.6
Fir	Stacked	81.3
Fir	Stacked	11.9
Fir	Stacked	157.8
Fir	Stacked	104
Fir	Stacked	100.5
Oak	Stacked	70
Oak	Stacked	65.7
Oak	Stacked	58.8
Oak	Stacked	39.9
Oak	Stacked	65.5
Oak	Stacked	150.5
Oak	Stacked	55.3
Oak	Stacked	113.2
Oak	Stacked	82.6
Oak	Stacked	126
Oak	Stacked	130.8
Oak	Stacked	14.4
Oak	Stacked	55.4
Oak	Stacked	59
Oak	Stacked	125.9
Oak	Stacked	63.5
Oak	Stacked	120.7
Oak	Stacked	129.3
Oak	Stacked	25.9
Oak	Stacked	47.6
Oak	Stacked	22.6
Oak	Stacked	89.8
Oak	Stacked	108
Oak	Stacked	209.7
Oak	Stacked	53.5
Oak	Stacked	108
Oak	Stacked	77.7
Oak	Stacked	44.3
Oak	Stacked	104
Oak	Stacked	83.2
Oak	Stacked	114.7
Oak	Stacked	167.8
Oak	Stacked	68.1
Oak	Stacked	371.1
Oak	Stacked	41.6
Oak	Stacked	58.9
Oak	Stacked	79.7
Oak	Stacked	27.1
Oak	Stacked	66.8
Oak	Stacked	77.8
Oak	Stacked	126.8
Oak	Stacked	115.4
Oak	Stacked	101.3
Oak	Stacked	82.9
Oak	Stacked	49
Cherry	Tapered	21.9
Cherry	Tapered	47.1
Cherry	Tapered	130.7
Cherry	Tapered	58.9
Cherry	Tapered	131.2
Cherry	Tapered	179.6
Cherry	Tapered	90.4
Cherry	Tapered	172.6
Cherry	Tapered	1.9
Cherry	Tapered	87.1
Cherry	Tapered	30.1
Cherry	Tapered	118.1
Cherry	Tapered	65.5
Cherry	Tapered	59.9
Cherry	Tapered	26.9
Cherry	Tapered	142.7
Cherry	Tapered	87.5
Cherry	Tapered	12.3
Cherry	Tapered	114.6
Cherry	Tapered	90.5
Cherry	Tapered	0.3
Cherry	Tapered	96.2
Cherry	Tapered	109.9
Cherry	Tapered	72
Cherry	Tapered	108.1
Cherry	Tapered	171.1
Cherry	Tapered	34.4
Cherry	Tapered	38.6
Cherry	Tapered	7.7
Cherry	Tapered	2.4
Cherry	Tapered	18.6
Cherry	Tapered	40.5
Cherry	Tapered	85.7
Cherry	Tapered	91.1
Cherry	Tapered	80.7
Cherry	Tapered	76.4
Cherry	Tapered	48.2
Cherry	Tapered	184.2
Cherry	Tapered	17.1
Cherry	Tapered	175.6
Cherry	Tapered	89.4
Cherry	Tapered	94.4
Cherry	Tapered	16.1
Cherry	Tapered	160
Cherry	Tapered	22.2
Ash	Tapered	183.4
Ash	Tapered	105.5
Ash	Tapered	133.2
Ash	Tapered	45.5
Ash	Tapered	99.3
Ash	Tapered	252
Ash	Tapered	23.6
Ash	Tapered	85.5
Ash	Tapered	166.3
Ash	Tapered	99.5
Ash	Tapered	69.9
Ash	Tapered	110.5
Ash	Tapered	67.1
Ash	Tapered	41
Ash	Tapered	41.7
Ash	Tapered	84
Ash	Tapered	35.5
Ash	Tapered	159.2
Ash	Tapered	143
Ash	Tapered	32.5
Ash	Tapered	128.2
Ash	Tapered	99.3
Ash	Tapered	16
Ash	Tapered	14.7
Ash	Tapered	35.1
Ash	Tapered	29.3
Ash	Tapered	85
Ash	Tapered	81.9
Ash	Tapered	15.8
Ash	Tapered	36.4
Ash	Tapered	65.5
Ash	Tapered	90.7
Ash	Tapered	74.3
Ash	Tapered	24.7
Ash	Tapered	102.9
Ash	Tapered	32.3
Ash	Tapered	121.6
Ash	Tapered	37.7
Ash	Tapered	43.9
Ash	Tapered	5.8
Ash	Tapered	98.2
Ash	Tapered	14.8
Ash	Tapered	61.6
Ash	Tapered	84.8
Ash	Tapered	41.3
Fir	Tapered	28.5
Fir	Tapered	5.2
Fir	Tapered	25.3
Fir	Tapered	32.9
Fir	Tapered	54.6
Fir	Tapered	107
Fir	Tapered	19.4
Fir	Tapered	59.4
Fir	Tapered	108
Fir	Tapered	23.9
Fir	Tapered	42.5
Fir	Tapered	99.6
Fir	Tapered	63.5
Fir	Tapered	33.9
Fir	Tapered	34.5
Fir	Tapered	88.8
Fir	Tapered	17.8
Fir	Tapered	63.7
Fir	Tapered	87.5
Fir	Tapered	111.9
Fir	Tapered	118.5
Fir	Tapered	96.4
Fir	Tapered	140.1
Fir	Tapered	73.1
Fir	Tapered	35.3
Fir	Tapered	53.8
Fir	Tapered	64.8
Fir	Tapered	14.9
Fir	Tapered	22.7
Fir	Tapered	135.9
Fir	Tapered	26.3
Fir	Tapered	28.4
Fir	Tapered	20
Fir	Tapered	17.4
Fir	Tapered	34.1
Fir	Tapered	21.7
Fir	Tapered	80.4
Fir	Tapered	75.3
Fir	Tapered	24.3
Fir	Tapered	62.3
Fir	Tapered	29.2
Fir	Tapered	63.6
Fir	Tapered	24.2
Fir	Tapered	18.7
Fir	Tapered	85.7
Oak	Tapered	22.4
Oak	Tapered	15
Oak	Tapered	43.2
Oak	Tapered	84.7
Oak	Tapered	50.5
Oak	Tapered	70.9
Oak	Tapered	42.9
Oak	Tapered	67.5
Oak	Tapered	60.8
Oak	Tapered	94.8
Oak	Tapered	16.8
Oak	Tapered	37.3
Oak	Tapered	26.6
Oak	Tapered	63.5
Oak	Tapered	47.5
Oak	Tapered	46.4
Oak	Tapered	161.2
Oak	Tapered	34.6
Oak	Tapered	30.3
Oak	Tapered	92.6
Oak	Tapered	33.4
Oak	Tapered	30
Oak	Tapered	124.7
Oak	Tapered	19.9
Oak	Tapered	21.9
Oak	Tapered	56.5
Oak	Tapered	23.4
Oak	Tapered	45.8
Oak	Tapered	24.9
Oak	Tapered	18.9
Oak	Tapered	20.4
Oak	Tapered	34.6
Oak	Tapered	39.7
Oak	Tapered	99.2
Oak	Tapered	75.5
Oak	Tapered	27.1
Oak	Tapered	34.9
Oak	Tapered	16.5
Oak	Tapered	20.6
Oak	Tapered	56.6
Oak	Tapered	123.5
Oak	Tapered	12
Oak	Tapered	62
Oak	Tapered	73.3
Oak	Tapered	44.9
